Device Id Device Model Installation Date
000000000000000 SamsungNote8 August 29, 2017 16:31
351562080243763 HTC 10 June 23, 2017 12:20
352204088829132 S7_Rooted August 19, 2017 18:55
352558060402022 Samsung S5 June 9, 2017 11:54
352803050051821 HTC SV May 30, 2017 16:42
355361058889814 Samsung S3 September 25, 2017 17:19
355922073120368 Samsung S6 August 23, 2017 18:23
358714052013574 HTC One_M8 August 19, 2017 11:31
861645035458801 Note3 May 31, 2017 12:54
863177034115560 Lenovo August 10, 2017 13:20
864829036770599 LenovoK8 October 23, 2017 12:25
